symbol,bucket_ms,n_trades,qty_sum,vwap,imb,spread,mid,vol5m,last_price,spread_bp,d_spread_bp,quote_staleness_ms,ret_1m,ret_2m,ret_5m,rv_3m,rv_10m,taker_imb,taker_qty_tot,taker_qty_z_30,depth_imb_top1,microprice_premium_bp,vwap_premium_bp,d_imb_1m,imb_z_30,spread_z_30,qty_sum_z_30,min_sin,min_cos,hour_sin,hour_cos,direction_next_30s
BTCUSD,1759224240000,8.0,0.0067,113109.34,-0.0010773778281168028,66.47999999999593,113390.59,0.0,113357.35,5.86292037108158,-0.0017668931590888448,47032,-0.00018612090308787205,-0.0006837960050327689,-0.001360831729136967,0.0002617275250040892,0.00028809444912564767,-1.0,0.0,-0.37008096745542596,-0.975609756097561,-2.85996115662466,-1.3794739565389986,0.0,0.5322590948107446,0.7234594624779485,0.04462244264739113,0.5877852522924732,-0.8090169943749473,0.7071067811865476,-0.7071067811865475,0
BTCUSD,1759224600000,8.0,0.00051,113385.5719607843,1.0,68.13999999999942,113377.73000000001,6.038426268789587e-05,113343.66,6.0099986126022635,0.14707824152068394,39126,-0.0001134197229469254,-0.0006837960050327689,-0.001360831729136967,0.0002617275250040892,0.00028809444912564767,0.019607843137254846,0.00051,-0.37008096745542596,0.8476011288805269,2.5470408043067576,0.6916667659773418,1.0010773778281168,0.5322590948107446,0.7234594624779485,0.04462244264739113,5.66553889764798e-16,-1.0,0.7071067811865476,-0.7071067811865475,0
BTCUSD,1759224720000,8.0,0.00051,113385.5719607843,-1.0,68.11999999999534,113377.72,4.0256175125263916e-05,113343.66,6.0082351276772314,-0.0017634849250320883,38642,-8.820074671014029e-08,-0.00011350792369366261,-0.001360831729136967,0.0002617275250040892,0.00028809444912564767,0.019607843137254846,0.0,-0.37008096745542596,0.8476011288805269,2.5462934383984703,0.6916667659773418,-2.0,0.5322590948107446,0.7234594624779485,0.04462244264739113,-0.20791169081775907,-0.9781476007338057,0.7071067811865476,-0.7071067811865475,0
BTCUSD,1759224900000,5.0,0.010400000000000001,113343.80799038461,1.0,49.86000000000058,113356.62,0.00026621134740592025,113342.68,4.398508000679676,-1.609727126997555,22028,-0.00018612090308787205,-0.00018620910383463114,-0.001360831729136967,7.654893994364333e-05,0.00028809444912564767,-1.0,0.010400000000000001,-0.37008096745542596,-0.9996645946066813,-2.198516358687827,-1.130239205737351,2.0,0.5322590948107446,0.7234594624779485,0.04462244264739113,-0.4999999999999997,-0.8660254037844388,0.7071067811865476,-0.7071067811865475,1
BTCUSD,1759224960000,8.0,0.0067,113259.83213432836,0.9883024045057404,59.01000000000931,113267.405,0.0004511019817194928,113237.9,5.209795351099402,0.8112873504197253,782,-0.0007873393353481743,-0.0009734602384361319,-0.001360831729136967,0.0003359623190777971,0.00028809444912564767,-1.0,0.0067,0.7437599864619019,-0.975609756097561,-2.541363585902084,-0.668582958322236,-0.011697595494259638,0.740084670585008,-0.46742964685429444,0.04462244264739113,-0.587785252292473,-0.8090169943749475,0.7071067811865476,-0.7071067811865475,1
BTCUSD,1759225020000,3.0,0.00404,113233.21618811882,1.0,21.170000000012806,113242.265,0.0004379339978560548,113231.68,1.8694433566842563,-3.3403519944151454,18186,-0.00022197727896763086,-0.0010093166143158364,-0.001308945441097403,0.0002753550309803293,0.00027350120281617216,-1.0,0.00404,0.11053169143784738,-0.975609756097561,-0.9119235886258082,-0.7990666630676492,0.011697595494259638,0.658430673984073,-2.0603224958056754,0.04462244264739113,-0.6691306063588582,-0.7431448254773942,0.7071067811865476,-0.7071067811865475,1
BTCUSD,1759225080000,19.0,0.09046,113150.37404709264,1.0,87.41000000000349,113165.985,0.0006311661392496947,113122.28,7.724052417341084,5.854609060656827,36678,-0.0006738270613919554,-0.0008958043403595741,-0.001869352779542445,0.0002441965321917888,0.000293113729109883,-1.0,0.09046,2.4323371298736856,-0.9518072289156625,-3.6759044636744798,-1.3794739565389986,0.0,0.5915454293356949,1.4383439762608345,1.990996714558463,-0.743144825477394,-0.6691306063588585,0.7071067811865476,-0.7071067811865475,0
BTCUSD,1759225140000,19.0,0.09046,113150.37404709264,1.0,78.38000000000466,113159.87,0.0005109653269590008,113122.28,6.92648374375162,-0.7975686735894643,11405,-5.403713156406958e-05,-0.0007278641929560498,-0.0019233017103597874,0.0002617275250040892,0.00028809444912564767,-1.0,0.0,-0.4813206533753565,-0.6039603960396039,-2.091660932520963,-1.3794739565389986,0.0,0.5416213931007934,0.8535461036666285,1.990996714558463,-0.8090169943749473,-0.5877852522924732,0.7071067811865476,-0.7071067811865475,1
BTCUSD,1759225200000,1.0,0.00019,113109.34,1.0,83.69000000000233,113151.185,0.00041198639506596636,113109.34,7.396299031247648,0.4698152874960284,16184,-7.675276847842936e-05,-0.00013078990004250447,-0.0018139335757502834,0.0002869675298191743,0.00027864467232251286,-1.0,0.00019,-0.442137838751828,0.6375838926174496,2.3578805636525835,-3.698149515623824,0.0,0.5025214096507611,1.0014556768385778,-0.5739911415053666,-0.8660254037844385,-0.5000000000000004,0.7071067811865476,-0.7071067811865475,1
BTCUSD,1759225320000,1.0,0.00019,113109.34,1.0,83.66999999999825,113151.17499999999,0.0002270957607523938,113109.34,7.394532138088559,-0.0017668931590888448,56832,-8.837733735673825e-08,-7.684114581582323e-05,-0.001026682617739469,3.215223702614926e-05,0.00027550862458575393,-1.0,0.0,-0.42170539719246414,0.6375838926174496,2.357317292343284,-3.698149515623824,0.0,0.4708259019027234,0.9048639277315842,-0.5739911415053666,-0.9510565162951535,-0.30901699437494756,0.7071067811865476,-0.7071067811865475,0
BTCUSD,1759225440000,1.0,0.00012,113100.0,-1.0,75.97000000000116,113137.985,3.9392891515399595e-05,113100.0,6.714809354258976,-0.6797227838295834,19953,-0.00011657650781790721,-0.00011666488515529184,-0.0009212818465897294,4.834234815570239e-05,0.000263767851622489,-1.0,0.00012,-0.3946735812175108,-0.975609756097561,-3.2755167581760194,-3.357404677129488,-2.0,-1.9760964271736956,0.46851094769605983,-0.5212050136176234,-0.9945218953682733,-0.10452846326765423,0.7071067811865476,-0.7071067811865475,1
BTCUSD,1759225560000,19.0,0.02264,112995.63725265017,1.0,99.97999999999593,113033.95000000001,0.00021891994473883792,112985.54,8.845130157797362,2.1303208035383863,6750,-0.0009199638968234845,-0.0010365404046413823,-0.0011674186820212578,0.00040895147127283213,0.00033232478359255813,-1.0,0.02264,0.4601749100364043,-0.9518072289156625,-4.209429412445803,-3.389490268175727,2.0,0.5505566232325979,1.5212691271114578,0.20067687334843554,-0.9945218953682734,0.10452846326765299,0.7071067811865476,-0.7071067811865475,1
BTCUSD,1759226040000,19.0,0.02264,112995.63725265017,1.0,86.44999999999709,113021.695,0.00021491982716783652,112978.47,7.64897394256891,-1.1961562152284522,47056,-0.00010842463157253824,-0.001028388528396041,-0.0012218061820297485,0.000380656410974453,0.0003239106723080239,-1.0,0.0,-0.4336353858306809,0.16923076923076924,0.6472208720637509,-3.389490268175727,0.0,0.5228967965206959,0.7781025644033702,0.20067687334843554,-0.5877852522924734,0.8090169943749473,0.7071067811865476,-0.7071067811865475,0
BTCUSD,1759226100000,19.0,0.02264,112995.63725265017,-1.0,37.679999999993015,112997.31,0.00021491982716783652,112978.47,3.334592655346664,-4.314381287222246,55598,-0.00021577831558561522,-0.0003242029471582105,-0.001360831729136967,0.0003599379769624733,0.00032285560528300794,-1.0,0.0,-0.4150832361805172,0.16923076923076924,0.28215784006688327,-3.389490268175727,-2.0,-1.8208291444166818,-1.5239700574699269,0.20067687334843554,-0.49999999999999967,0.8660254037844388,0.7071067811865476,-0.7071067811865475,0
BTCUSD,1759226340000,9.0,0.0013,112975.01707692308,0.9767040552200174,5.490000000005239,112949.41500000001,6.880878737185459e-05,112946.67,0.486058294326291,-2.8485343610203726,9855,-0.0004239495015238871,-0.0006397278171094878,-0.001784692853323419,0.0001309860042073801,0.00028630711476743803,-1.0,0.0013,-0.3454883536933412,0.7211703958691911,0.17526542626689523,2.266685216835095,1.9767040552200172,0.5542705883483784,-2.333640208070414,-0.503873066040867,-0.10452846326765342,0.9945218953682733,0.7071067811865476,-0.7071067811865475,1
BTCUSD,1759226400000,17.0,0.01192,112905.48020134227,0.28886175915151757,82.58000000000175,112896.85,0.00022158885605383372,112860.39,7.314641639691607,6.828583345365316,20955,-0.000465493648515039,-0.0008894431500389028,-0.0021336099940205445,0.00010924941205243399,0.00029056408109764536,-1.0,0.01192,0.12142692301472267,-0.9518072289156625,-3.48106439479443,0.764432430335148,-0.6878422960684998,-0.29060336540156767,0.6688163605525267,-0.11143198805365327,0.0,1.0,0.49999999999999994,-0.8660254037844387,1
